ForestName plotid dbh stump SpeciesCode
168 Zika 14 12 0 TriDre
169 Zika 14 15 0 ZanGol
170 Zika 15 27.7 0 MarDis
171 Zika 15 4.1 0 OchAfz
172 Zika 15 4.2 0 OchAfz
173 Zika 15 4.7 0 OchAfz
174 Zika 15 14 0 OchSpp
175 Zika 15 5.8 0 PipAfr
176 Zika 15 5 0 TecNob
177 Zika 15 7.2 0 TecNob
178 Zika 15 4.7 0 ZanGol
179 Zika 16 9.3 0 BarAcu
180 Zika 16 14.5 0 BarAcu
181 Zika 16 11.1 0 TriPri
182 Zika 16 3.8 0 ZanGol
183 Zika 16 5.9 0 ZanLep
184 Zika 17 13.4 0 AntTox
185 Zika 17 45.4 0 CanSch
186 Zika 17 23 0 TriPri
187 Zika 17 16.9 0 TriPri
188 Zika 17 29.8 0 TriRub
189 Zika 17 5.8 0 TriMad
190 Zika 18 4 0 AlcFlo
191 Zika 18 29.5 0 AntTox
192 Zika 18 29.5 0 AntTox
193 Zika 18 13.8 0 ManBut
194 Zika 18 6 0 ManBut
195 Zika 18 6.2 0 ManBut
196 Zika 18 6.9 0 ParFil
197 Zika 18 26.3 0 SpoPre
198 Zika 18 64.8 0 ZanGil
199 Zika 19 17.8 0 AntTox
200 Zika 19 7.8 0 AntTox
201 Zika 19 16.3 0 BliWel
202 Zika 19 4.5 0 BliWel
203 Zika 19 3.7 0 ManBut
204 Zika 19 11.1 0 ManBut
205 Zika 19 4.4 0 TabHol
206 Zika 19 17.4 0 TriMar
207 Zika 19 3.8 0 TriPri
208 Zika 19 68 0 TriMad
209 Zika 19 4 0 TriMad
210 Zika 19 8.7 0 WarJas
211 Zika 20 12.9 0 BliWel
212 Zika 20 5.6 0 BliWel
213 Zika 20 67.5 0 CelMil
214 Zika 20 9.7 0 ErySua
215 Zika 20 8.2 0 PycAng
216 Zika 20 7.1 0 RotLon
217 Zika 20 21.2 0 SpoPre
218 Zika 20 8.3 0 SymGlo
219 Zika 21 6.6 0 BarAcu
220 Zika 21 21.9 0 BarAcu
221 Zika 21 3.7 0 BliWel
222 Zika 21 107 0 PipAfr
223 Zika 21 7.6 0 TabHol
224 Zika 21 50 0 TreAfr
225 Zika 21 6.1 0 TriMad
226 Zika 22 18.6 0 BarAcu
227 Zika 22 50 0 BliWel
228 Zika 22 5.8 0 DryUga
229 Zika 22 58.7 0 ErySua
230 Zika 22 39.5 0 ManBut
231 Zika 22 56.1 0 StaKam
232 Zika 22 15.9 0 StaKam
233 Zika 23 4.4 0 AlcLax
234 Zika 23 32.1 0 AntTox
235 Zika 23 107 0 ErySua
236 Zika 23 25.8 0 ManBut
237 Zika 23 8.4 0 ManBut
238 Zika 23 14 0 TabHol
239 Kibale 1 7.5 0 AntTox
240 Kibale 1 3.8 0 ManBut
241 Kibale 1 8.2 0 ManBut
242 Kibale 1 3.7 0 PouAlt
243 Kibale 1 7.2 0 StaKam
244 Kibale 1 5.5 0 TriRub
245 Kibale 1 9 0 WarJas
246 Kibale 1 3.7 0 ZanGol
247 Kibale 2 4 0 DicArb
248 Kibale 2 18.5 0 ErySua
249 Kibale 2 4.3 0 ManBut
250 Kibale 2 7.2 0 ManBut
251 Kibale 2 23.7 0 ManBut
252 Kibale 2 25.5 0 MyrHol
253 Kibale 2 5.8 0 PycAng
254 Kibale 2 10 0 TriMad
