Transect_n	N	E
1	0.40444000000	33.03111000000
2	0.40472000000	33.03083000000
3	0.40528000000	33.03056000000
4	0.39861000000	33.01333000000
5	0.39889000000	33.01333000000
6	0.39944000000	33.01278000000
7	0.44306000000	33.02639000000
10	0.44278000000	33.02333000000
15	0.39639000000	33.02111000000
17	0.39667000000	33.02028000000
18	0.41889000000	32.98639000000
20	0.41944000000	32.98722000000
21	0.40917000000	32.99583000000
22	0.40861000000	32.99583000000
23	0.40806000000	32.99556000000
24	0.41139000000	33.06806000000
25	0.41194000000	33.06861000000
26	0.41194000000	33.06972000000
27	0.41056000000	33.07333000000
28	0.41111000000	33.07361000000
29	0.41194000000	33.07389000000
33	0.43278000000	32.96083000000
34	0.43361000000	32.96083000000
35	0.43389000000	32.96083000000
36	0.43500000000	32.97833000000
37	0.43417000000	32.97833000000
38	0.43389000000	32.97806000000
39	0.42528000000	32.97556000000
40	0.42472000000	32.97528000000
41	0.42417000000	32.97500000000
42	0.42639000000	32.97139000000
43	0.42722000000	32.97167000000
44	0.42778000000	32.97167000000
45	0.39444000000	32.98417000000
46	0.39472000000	32.98444000000
47	0.39528000000	32.98417000000
48	0.38694000000	33.02111000000
49	0.38694000000	33.02083000000
50	0.38750000000	33.02111000000
51	0.43833000000	33.00278000000
52	0.43861000000	33.00222000000
53	0.43833000000	33.00194000000
54	0.43972000000	33.00278000000
55	0.44000000000	33.00250000000
56	0.44000000000	33.00194000000
57	0.48833000000	32.91722000000
58	0.48861000000	32.91750000000
59	0.48889000000	32.91806000000
60	0.49278000000	32.90611000000
61	0.49361000000	32.90611000000
62	0.49417000000	32.90611000000
66	0.48778000000	33.06444000000
67	0.48778000000	33.06389000000
68	0.48806000000	33.06306000000
69	0.48556000000	33.06389000000
70	0.48528000000	33.06361000000
71	0.48500000000	33.06306000000
72	0.39083000000	33.01361000000
73	0.39139000000	33.01333000000
74	0.39167000000	33.01306000000
