Albizia grandibracteata	Albizia gummifera	Albizia odoratissima	Albizia zygia	Alchornea cordifolia	Allophyllus dummeri	Allophyllus ferrugineus	Alstonia boonei	Antiaris toxicaria	Aphania senegalensis	Ardisia stuadtii	Bilghia unijugata	Broussonetia papyrifera	Carapa procera	Celtis africana	Celtis durandii	Celtis mildbreadii	Celtis wightii	Citropsis articulata	Claoxylon hexandrum	Clausena anisata	Coffea eugenioides	Coffea robusta	Connarus longistipitatus	Cordia africana	Desplatsia mildbraedii	Diospyros abyssinica	Dovyalis macrocalyx	Drypetes sp	Drypetes ugandensis	Entandrophragma cylindricum	Entandrophragma utile	Euphorbia teke	Ficalhoa laurifolia	Ficus asperifolia	Ficus exesparata	Ficus sur	Funtumia elastica	Greenwayodendron suaveolens	Harungana madagascariensis	Khaya anthotheca	Kigelia africana	Kleinhovia hospitata	Landolphia owariensis	Leptonychia mildbraedii	Macaranga angolensis	Manilkara butugi	Manilkara dawei	Markhamia lutea	Millettia psilopetala	Monodora angolensis	Myrianthus holstii	Ochna membranacea	Oncoba spinosa	Oxyanthus speciosus	Pachystela brevipes	Pachystela msolo	Piptadeniastrum africanum	Polyscias fulva	Pristimera andongensis	Psydrax parviflora	Psydrax schimperiana	Strombosia scheffleri	Strychnos mitis	Tabernaemontana holstii	Tapura fischeri	Teclea nobilis	Trichilia prieureanea	Acalypha neptunica	Acalypha psilostanchya	Argomuellera macrophylla	Chaetacme aristata	Erythrococca trichogyne	Lindackeria bukobensis	Lindackeria schweinfurthii	Nuxia congesta	Ouratea densiflora	Paullina pinnata	Pyrenacantha sylvestris	Solanum mauritianum	Tetracera potatoria	Venornia amygdalina
21	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	10	0	0.333333333333333	0	0	0	0	0.166666666666667	0	0	0	0	0	0
22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	0	0	0	0	0.25	0	0	0	0	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.75	0	0	0	0	0	0	0	0	0	0	0	0	0
25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	0.5	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0.5	0	5.25	0	0	0	0	0	0	0	0	0
27	0.2	0	0	0	0	0	0	0	0	0	0	0	0.4	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.6	0	3.2	0	0	0	0	0	0	0	0	0	0	0
28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0.4	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	40	0	4.2	0.2	0.4	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0.166666666666667	0	0	0	0.166666666666667	0	0	0	0	0	0	0.5	0.166666666666667	0	0	0	0.166666666666667	0.833333333333333	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	11.6666666666667	0	1.5	0	0	0	0.166666666666667	0	0	0	0	0	0	0
