sample	asp mac	asp uni	asp ine	asp gem	asp ere	asp hol	asp war	pte ham	pte bur_atr	pte pte	pte cat	pte den	bol aur	bol gem	bol acr	tec gem	tec ang	chr par	dor kir	mic pun	mic spe	pel don	art pal	nep bis	pne uni	lom war	dry sp	cal pro	cyc int	pla sp
49	50	0	1	0	6	0	0	16	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
50	31	0	1	0	31	0	0	6	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	16	31	0	0	0	0	0	0	0	0	31	0	6	0	6	31	0	6	0	6	1	0	31	0	1	0	1	0	0	0
55	16	6	0	0	0	0	0	6	0	0	31	1	16	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
56	50	50	0	0	0	1	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
57	0	0	0	0	0	16	1	16	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
58	16	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0
59	0	0	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
60	50	0	0	0	0	0	0	6	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
61	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
62	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	1	0	0	1	0	0	0	0	0	0	0	0
72	0	100	0	0	0	0	0	0	16	0	0	6	0	0	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
73	0	31	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0
74	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
