Aframomum mildbraedii	Aristolochia elegans	Begonia eminni	Corymborkis corymbis	Costus afer	Cyathula achyranthoides	Dicleptera sp.	Diplocyclos palmatus	Dracaena fragrans	Dracaena laxima	Habenaria genuflexa	Hibiscus calyphyllus	Impatients naimiamensis	Leea guineesis	Leptaspis zeylanica	Marantochloa leucantha	Marantochloa purpurea	Olyra latifolia	Palisota manii	Pavetta ternifolia	Peristrophe paniculata	Phoenix reclinata	Phytolacca decandra	Piper capensis	Pollia condensata	Pseuderanthemum ludovicianum	Pseudochinoclea sp	Renealmia congolana	Stanfieldiella imperforata	Tacca leontopetaloides	Thunbergia vogeliana
33	0	0	0	0	0	0	0	0	6.83333333333333	0	0	0	0	0	2.66666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0.333333333333333	8.33333333333333	0	0	0	0	0
34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6	0	0	0	0.2	0	0	0	0	0	0.2	10	0	0	0	0	0
36	0	0	0	0	0	0	0	0	22.6666666666667	0	0	0	0	0	0.166666666666667	0	0	0	0.5	0.333333333333333	0	0	0	0	0.5	8.5	0	0.166666666666667	0	0	0
37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0.2	36	0	0.2	0	0	0
39	3	0	0	0	0	0	0	0	1	0	0	0	0	0	25.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0
40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	0.333333333333333	0	0	0	0	0	0	0	0.833333333333333	0	0	0	0	0	6	0.166666666666667	0.166666666666667	0	0.666666666666667	0	0	0	0	0	0	30	0	0	0	0	0
46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.4	0	0
48	0.2	0	0	0	0.2	0	0	0	32	0	0.2	0	0	0	1.6	0	0	0.4	0.2	0	0	0	0	0.2	0	0.2	0	0	0	0	0
49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	0	0	0	0	8.75	0	0	0	0	0	0	0	0	0	1.25	0	7.5	0.25	0	0	0	0.75	0	0	0	11.75	0	0	0	0	2.25
58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	0	0	0	1.2	0	0	0	0	13.2	0	0	0	0	0	1.4	0	2	0	0	0	0	0.2	0	0	0	3.2	0	0	0	0	0
60	0	0	0	0.2	0	0	0	0	9.6	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0
61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	0	0	0	0	0	0	0	0	14.2	0	0	0	0	0	13.4	0	0	0.2	0	0	0	0	0	0	0.4	19	0	0.2	0	0.2	0
63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
66	0.166666666666667	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0.5	1.66666666666667	0	0	0	0.166666666666667	0	0	0	0	0	1.66666666666667	0	0	0	0	0
67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
68	1.16666666666667	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0
69	0.2	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0.4	0	0	0	0	0	0	0.2	0	0	0.2	0	0	0	0	0
70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
71	0	0.166666666666667	0	0	0	0	0.166666666666667	0	1.33333333333333	0	0	0	0	0	0	0.833333333333333	0	0	0	0	0	0	0	0	0	0.166666666666667	0.5	0	0	0	0
72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.4	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0
73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
