Albizia grandibracteata	Albizia gummifera	Albizia odoratissima	Albizia zygia	Alchornea cordifolia	Allophyllus dummeri	Allophyllus ferrugineus	Alstonia boonei	Antiaris toxicaria	Aphania senegelensis	Bilghia unijugata	Broussonetia papyrifea	Canarium schweinfurthii	Carapa procera	Celtis africana	Celtis durandii	Celtis mildbreadii	Celtis wightii	Chrysophyllum albidum	Citropsis articulata	Claoxylon hexandrum	Clausena anisata	Coffea robusta	Cordia africana	Croton macrophyllus	Croton macrostachyus	Croton megalocarpus	Desplatsia mildbraedii	Diospyros abyssinica	Dovyalis macrocalyx	Drypetes ugandensis	Entandrophragma cylindricum	Entandrophragma utile	Euphorbia teke	Ficus asperifolia	Ficus exesparata	Ficus mucuso	Ficus sur	Funtumia elastica	Greenwayodendron sauveolens	Harungana madagascariensis	Khaya anthotheca	Kigelia africana	Kleinhovia hospitata	Lovoa trichiloides	Macaranga angolensis	Macaranga monondra	Maesopsis eminii	Manilkara butugi	Manilkara dawei	Margaritaria discoidea	Markhamia lutea	Monodora angolensis	Myrianthus holstii	Ochna membranacea	Oncoba spinosa	Oxyanthus speciosus	Pachystela brevipes	Pachystela msolo	Piptadeniastrum africanum	Polyscias fulva	Psydrax parviflora	Psydrax schimperiana	Spathodea campanulata	Strombosia scheffleri	Strychnos mitis	Tabernaemontana holstii	Teclea nobilis	Trichilia prieureanea	Zanha golungensis	Acalypha neptunica	Acalypha psilostanchya	Argomuellera macrophylla	Chaetacme aristata	Lindackeria schweinfurthii	Nuxia congesta	Ouratea densifolia	Paullina pinnata	Pyracantha sylvestris	Solanum mauritianum	Tetracera potatoria	Venornia amygdalina
37	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	2.2	0	0	0	0	0	0	0	0	0
39	0.4	0.2	0	0	0	0.2	0	0	0.2	0	0	0.4	0	0.4	0	0	0	0	0	0	0	0.2	0.6	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.4	0	0	0	0.2	0	0	0	0	0	0.4	0	0	0	0	0	0	0	0	0	0	3.2	0	1.2	0	0.2	0	0	0	0	0	0	0
40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0
46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0	0	0	0	1	0	0	0.6	0	0	0.6	0	0	0	0	0	0	0.2	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0.2
48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0.4	0	0	0.8	0	6	0	0	0	0	0	0	0	0	0
